backend,workers,heads_per_band,chunk_size,prefill_tok_s,decode_tok_s,prefill_s,decode_s
ray,,6,64,25.10524504370953,24.200537723489422,0.23899388313293457,5.247817277908325
ray,,3,36,114.28776958814153,24.759563621300277,0.05249905586242676,5.129331111907959
ray,,7,64,92.07558988281006,24.697308283188146,0.06516385078430176,5.142260789871216
ray,,6,36,109.40568551840468,24.751313556969205,0.05484175682067871,5.131040811538696
ray,,7,64,101.40967117988394,24.646619098345717,0.05916595458984375,5.152836561203003
ray,,4,64,120.09804146145918,24.67454906520486,0.04995918273925781,5.147003889083862
ray,,6,8,106.35319175911252,24.63059800234165,0.05641579627990723,5.156188249588013
ray,,7,64,104.53701980592848,24.610599192993778,0.05739593505859375,5.1603782176971436
ray,,3,36,105.02870927218927,24.667044321637373,0.05712723731994629,5.148569822311401
ray,,6,36,117.25868286909765,24.54808289809688,0.05116891860961914,5.173520088195801
ray,,3,36,101.3186248656309,24.63249441987304,0.0592191219329834,5.155791282653809
ray,,3,36,107.39617713707767,24.68877008837364,0.055867910385131836,5.144039154052734
ray,,3,36,116.7289324279194,24.66086045414087,0.05140113830566406,5.149860858917236
ray,,6,36,99.30833310314075,24.61036041415784,0.060417890548706055,5.160428285598755
ray,,6,36,96.33146278163542,24.5679665953225,0.06228494644165039,5.169332981109619
ray,,3,22,115.27193942752969,24.495030858794316,0.05205082893371582,5.184725046157837
